updated,tsmc_rev_ntd_b,tsmc_yoy_pct,ramp_adoption_pct,debt_90d,s1_ai_90d,formd_ai_90d
2026-07-19T17:45:02Z,442.7,67.9,55.0,29,391,8
2026-07-20T07:35:54Z,442.7,67.9,55.0,29,379,7
2026-07-20T08:14:42Z,442.7,67.9,55.0,29,379,7
2026-07-20T11:54:28Z,442.7,67.9,55.0,29,385,7
2026-07-20T14:26:44Z,442.7,67.9,55.0,29,385,7
2026-07-20T15:16:33Z,442.7,67.9,55.0,29,385,7
2026-07-20T16:59:07Z,442.7,67.9,55.0,29,385,7
2026-07-20T19:03:10Z,442.7,67.9,55.0,29,386,7
2026-07-20T20:38:40Z,442.7,67.9,55.0,29,386,7
2026-07-20T22:06:09Z,442.7,67.9,55.0,29,388,7
2026-07-20T23:09:35Z,442.7,67.9,55.0,29,388,7
2026-07-21T03:30:33Z,442.7,67.9,55.0,29,385,7
2026-07-21T06:37:58Z,442.7,67.9,55.0,29,385,7
2026-07-21T09:35:27Z,442.7,67.9,55.0,29,385,7
2026-07-21T11:53:44Z,442.7,67.9,55.0,29,385,7
2026-07-21T13:59:37Z,442.7,67.9,55.0,29,385,7
2026-07-21T14:05:56Z,442.7,67.9,55.0,29,385,7
2026-07-21T14:11:53Z,442.7,67.9,55.0,29,385,7
2026-07-21T15:08:50Z,442.7,67.9,55.0,29,385,7
2026-07-21T16:57:24Z,442.7,67.9,55.0,29,385,7
2026-07-21T18:20:31Z,442.7,67.9,55.0,29,385,7
2026-07-21T20:03:06Z,442.7,67.9,55.0,29,385,7
2026-07-21T21:43:29Z,442.7,67.9,55.0,29,386,7
2026-07-21T23:06:51Z,442.7,67.9,55.0,29,386,7
2026-07-22T03:29:15Z,442.7,67.9,55.0,29,376,7
2026-07-22T06:38:35Z,442.7,67.9,55.0,29,376,7
2026-07-22T09:35:03Z,442.7,67.9,55.0,29,376,7
2026-07-22T11:56:38Z,442.7,67.9,55.0,29,377,7
2026-07-22T14:14:24Z,442.7,67.9,55.0,29,377,7
2026-07-22T15:09:33Z,442.7,67.9,55.0,29,377,7
2026-07-22T16:58:01Z,442.7,67.9,55.0,29,377,7
2026-07-22T18:16:12Z,442.7,67.9,55.0,29,377,7
2026-07-22T19:54:40Z,442.7,67.9,55.0,29,377,7
2026-07-22T21:24:28Z,442.7,67.9,55.0,29,378,7
2026-07-22T22:36:01Z,442.7,67.9,55.0,29,378,7
2026-07-22T23:13:32Z,442.7,67.9,55.0,29,378,7
2026-07-23T03:35:33Z,442.7,67.9,55.0,29,370,7
2026-07-23T06:37:52Z,442.7,67.9,55.0,29,370,7
2026-07-23T09:32:57Z,442.7,67.9,55.0,29,370,7
2026-07-23T11:57:39Z,442.7,67.9,55.0,29,,7
2026-07-23T14:25:16Z,442.7,67.9,55.0,29,370,7
